Burdur,Çavdır,12891,12796,12741
Burdur,Çeltikçi,5375,5134,5067
Bursa,Büyükorhan,11396,9666,9596
Bursa,Gemlik,103390,113493,123361
Bursa,Gürsu,74827,93788,104867
Bursa,Harmancık,6873,6384,6204
Bursa,Karacabey,80594,83923,85968
Bursa,Keles,13123,11997,11171
Bursa,Kestel,52938,68204,76659
Bursa,Mudanya,80385,97631,110797
Bursa,Mustafakemalpaşa,99651,101119,103581
Bursa,Nilüfer,375474,465956,561730
Bursa,Orhaneli,21563,19387,19069
Bursa,Orhangazi,76143,79145,82111
Bursa,Osmangazi,813262,876048,885441
Bursa,Yenişehir,52215,53921,55606
Bursa,Yıldırım,640746,657994,654998
Bursa,İnegöl,242232,273933,302251
Bursa,İznik,42727,43531,45208
Denizli,Acıpayam,55722,55351,54994
Denizli,Babadağ,6623,6445,6303
Denizli,Baklan,5800,5524,5351
Denizli,Bekilli,7512,6826,6416
Denizli,Beyağaç,6922,6397,6148
Denizli,Bozkurt,12352,12671,11130
Denizli,Buldan,27455,27179,26456
Denizli,Güney,10697,9802,9280
Denizli,Honaz,32282,34343,34835
Denizli,Kale,21133,20310,19154
Denizli,Merkezefendi,271942,311177,345933
Denizli,Pamukkale,320142,346625,345850
Denizli,Sarayköy,29739,30810,31063
Denizli,Serinhisar,14796,14451,14591
Denizli,Tavas,46463,43320,40591
Denizli,Çal,20218,18869,17546
Denizli,Çameli,18819,18039,17492
Denizli,Çardak,9076,8736,8558
Denizli,Çivril,61007,60333,59680
Diyarbakır,Bağlar,367314,396102,397661
Diyarbakır,Bismil,112461,118250,120093
Diyarbakır,Dicle,40033,37673,36758
Diyarbakır,Ergani,123474,132463,139223
Diyarbakır,Eğil,22786,22704,22346
Diyarbakır,Hani,32413,32675,32604
Diyarbakır,Hazro,17054,16618,16411
Diyarbakır,Kayapınar,292394,381414,440886
Diyarbakır,Kocaköy,16357,16106,15323
Diyarbakır,Kulp,36215,35357,35264
Diyarbakır,Lice,26427,25222,24959
Diyarbakır,Silvan,86633,86736,86905
Diyarbakır,Sur,121750,106108,97823
Diyarbakır,Yenişehir,206534,210927,228570
Diyarbakır,Çermik,50928,50819,49607
Diyarbakır,Çüngüş,12895,11539,10463
Diyarbakır,Çınar,69380,75640,78788
Düzce,Akçakoca,37747,38639,41233
Düzce,Cumayeri,13332,14649,16011
Düzce,Düzce Merkez,214991,247419,263220
